timestamp,attention_score,status,gaze_direction,head_pose,blink_rate_per_min
2026-03-12 15:20:48,80,Distracted,Right,Down,0.0
2026-03-12 15:20:53,85,Attentive,Center,Left,22.0
2026-03-12 15:20:58,74,Attentive,Center,Left,28.7
2026-03-12 15:21:03,44,Distracted,Center,Left,19.4
2026-03-12 15:21:08,91,Attentive,Center,Left,17.6
2026-03-12 15:21:13,85,Attentive,Center,Down,21.2
2026-03-12 15:21:18,76,Attentive,Center,Down,29.5
2026-03-12 15:21:23,80,Attentive,Center,Left,28.7
2026-03-12 15:21:28,81,Attentive,Center,Left,26.6
2026-03-12 15:21:33,78,Attentive,Center,Left,34.2
2026-03-12 15:21:38,78,Attentive,Center,Left,36.7
2026-03-12 15:21:43,78,Attentive,Center,Left,35.6
2026-03-12 15:21:48,78,Attentive,Center,Left,36.8
2026-03-12 15:21:53,78,Attentive,Center,Left,37.4
2026-03-12 15:21:58,78,Attentive,Center,Left,40.0
2026-03-12 15:22:03,82,Attentive,Center,Left,36.5
2026-03-12 15:22:08,35,Distracted,Right,Forward,36.2
2026-03-12 15:22:13,84,Attentive,Center,Forward,33.1
2026-03-12 15:22:18,84,Attentive,Center,Forward,29.6
2026-03-12 15:22:23,75,Distracted,Left,Left,31.3
2026-03-12 15:22:28,84,Attentive,Center,Forward,33.0
2026-03-12 15:22:33,90,Attentive,Center,Forward,23.1
2026-03-12 15:22:38,94,Attentive,Center,Forward,19.9
2026-03-12 15:22:43,82,Attentive,Center,Forward,18.5
2026-03-12 15:22:48,99,Attentive,Center,Forward,15.5
2026-03-12 15:22:53,99,Attentive,Center,Forward,13.3
2026-03-12 15:22:58,99,Attentive,Center,Forward,15.3
2026-03-12 15:23:03,98,Attentive,Center,Forward,17.6
2026-03-12 15:23:08,95,Attentive,Center,Forward,19.2
2026-03-12 15:23:13,94,Attentive,Center,Forward,20.0
2026-03-12 15:23:18,94,Attentive,Center,Forward,20.2
2026-03-12 15:23:23,40,Distracted,Left,Down,18.2
2026-03-12 15:23:28,76,Attentive,Center,Down,20.6
2026-03-12 15:23:33,96,Attentive,Center,Forward,18.6
2026-03-12 15:23:38,91,Attentive,Center,Left,18.0
2026-03-12 15:23:43,85,Attentive,Center,Down,21.6
2026-03-12 15:23:48,82,Attentive,Center,Down,24.0
2026-03-12 15:23:53,84,Attentive,Center,Down,22.0
2026-03-12 15:23:58,87,Attentive,Center,Down,20.0
2026-03-12 15:24:03,87,Attentive,Center,Left,21.1
2026-03-12 15:24:08,39,Distracted,Left,Down,19.1
2026-03-12 15:24:13,87,Attentive,Center,Left,16.1
2026-03-12 15:24:18,99,Attentive,Center,Forward,14.2
2026-03-12 15:24:23,91,Attentive,Center,Forward,18.0
2026-03-12 15:24:28,80,Sleepy,Center,Forward,16.2
2026-03-12 15:24:33,93,Attentive,Center,Left,15.8
2026-03-12 15:24:38,99,Attentive,Center,Forward,15.6
2026-03-12 15:24:43,93,Attentive,Center,Left,15.1
2026-03-12 15:24:48,99,Attentive,Center,Forward,14.4
2026-03-12 15:24:53,92,Attentive,Center,Forward,18.5
2026-03-12 15:24:58,97,Attentive,Center,Forward,16.2
2026-03-12 15:25:03,98,Attentive,Center,Forward,13.0
2026-03-12 15:25:08,97,Attentive,Center,Forward,17.6
2026-03-12 15:26:03,86,Attentive,Center,Left,0.0
2026-03-12 15:26:08,78,Attentive,Center,Left,40.4
2026-03-12 15:26:13,82,Attentive,Center,Left,25.3
2026-03-12 15:26:18,78,Attentive,Center,Left,29.0
2026-03-12 15:26:24,80,Attentive,Center,Left,27.6
2026-03-12 15:26:29,78,Attentive,Center,Left,31.8
2026-03-12 15:28:23,80,Sleepy,Center,Forward,0.0
2026-03-12 15:28:28,87,Attentive,Center,Forward,0.0
2026-03-12 15:28:33,90,Attentive,Center,Forward,23.2
2026-03-12 15:28:38,64,Attentive,Center,Down,17.7
2026-03-12 15:28:43,92,Attentive,Center,Left,15.8
2026-03-12 15:28:48,94,Attentive,Center,Forward,11.9
2026-03-12 15:28:53,75,Distracted,Down,Forward,11.9
2026-03-12 15:28:58,72,Sleepy,Center,Down,13.9
2026-03-12 15:29:03,77,Attentive,Center,Left,17.0
2026-03-12 15:29:08,99,Attentive,Center,Forward,14.9
2026-03-12 15:29:13,74,Sleepy,Center,Left,14.6
2026-03-12 15:29:18,99,Attentive,Center,Forward,14.3
2026-03-12 15:29:23,80,Sleepy,Center,Forward,13.0
2026-03-12 15:29:28,80,Sleepy,Center,Forward,11.3
2026-03-12 15:29:33,80,Sleepy,Center,Forward,10.0
2026-03-12 15:29:38,92,Attentive,Center,Left,12.0
2026-03-12 15:29:43,99,Attentive,Center,Forward,13.6
2026-03-12 15:29:48,91,Attentive,Center,Down,12.4
2026-03-12 15:29:53,98,Attentive,Center,Forward,12.1
2026-03-12 15:29:58,97,Attentive,Center,Forward,10.1
2026-03-12 15:30:03,90,Attentive,Center,Left,8.8
2026-03-12 15:30:08,90,Attentive,Center,Left,10.0
2026-03-12 15:30:13,57,Distracted,Left,Forward,9.2
2026-03-12 15:30:18,88,Attentive,Center,Left,14.1
2026-03-12 15:30:23,97,Attentive,Center,Left,12.6
2026-03-12 15:30:28,93,Attentive,Center,Left,13.7
2026-03-12 15:30:33,35,Distracted,Down,Down,13.6
2026-03-12 15:30:38,91,Attentive,Center,Left,10.4
2026-03-14 15:26:05,88,Attentive,Center,Forward,52.0
2026-03-14 15:26:10,84,Attentive,Center,Forward,19.5
2026-03-14 15:26:15,78,Attentive,Center,Left,32.2
2026-03-14 16:28:09,86,Attentive,Center,Left,0.0
2026-03-14 16:28:14,83,Attentive,Center,Forward,12.5
2026-03-14 16:28:19,89,Attentive,Center,Left,6.1
2026-03-14 16:28:24,94,Attentive,Center,Forward,4.0
2026-03-14 16:28:29,87,Attentive,Center,Left,3.0
2026-03-14 16:28:34,46,Distracted,Center,Left,2.4
2026-03-14 16:28:39,87,Attentive,Center,Left,2.0
2026-03-14 16:28:44,86,Attentive,Center,Left,1.7
2026-03-14 16:37:51,78,Attentive,Center,Down,55.7
2026-03-14 16:37:56,91,Attentive,Center,Left,9.8
2026-03-14 16:46:20,70,Distracted,Right,Down,0.0
2026-03-14 16:46:25,86,Attentive,Center,Left,0.0
2026-03-14 16:46:30,86,Attentive,Center,Left,0.0
2026-03-14 16:46:35,86,Attentive,Center,Left,0.0
2026-03-14 16:46:40,86,Attentive,Center,Left,0.0
2026-03-14 16:46:45,86,Attentive,Center,Left,0.0
2026-03-14 16:46:50,86,Attentive,Center,Left,0.0
2026-03-14 16:46:55,30,Distracted,Right,Left,40.3
2026-03-14 16:47:00,76,Distracted,Right,Left,9.2
2026-03-14 16:47:05,39,Distracted,Right,Left,5.1
2026-03-14 16:47:10,53,Distracted,Center,Left,3.6
2026-03-14 16:47:15,38,Distracted,Right,Left,2.7
2026-03-14 16:47:20,52,Distracted,Center,Left,2.2
2026-03-14 16:47:25,90,Attentive,Center,Left,7.5
2026-03-14 16:47:30,89,Attentive,Center,Left,6.5
2026-03-14 16:47:35,70,Attentive,Center,Left,7.1
2026-03-14 16:47:40,88,Attentive,Center,Down,6.4
